a,A tiny word that comes before a noun
about,When you talk on a topic
after,Not first
airplane,"Movie where, ""And don't call me Shirley"" is from"
all,When you don't leave anything out
allgone,What you say when there is none left.
alligator,Reptile found in the Everglades.
alot,When there is more than just a little of something.
am,"""I think therefore I __"""
an,A simple everyday word you might see or say
and,A small word that joins two things together.
animal,Drummer from the muppets.
another,One more person or thing
ant,Lines of these carrying food.
any,When it doesn't matter which one you get.
apple,These keep the doctor away.
are,Another form of to be; they ___
arm,Used for lifting things up and down.
around,About or approximately
asleep,The opposite of awake.
aunt,A person in your family or someone who helps take care of you.
awake,The opposite of asleep.
baabaa,Sound a sheep makes
baby,Justin Bieber hit 2010
babysitter,"Kristy, Mary Anne, Claudia, and Stacey job"
backyard,Area behind the house
bad,Michael Jackson song and album from 1987
ball,"Basket____, base____, soccer ____."
balloon,Used to make a house fly in Up
basement,Room beneath your house
basket,Item that carries Toto in The WIzard of Oz
bat,Only flying mammal
bath,What you take when you wash your body in a tub.
bathroom,"Location of a sink, tub, and mirror"
bathtub,The big container you fill with water to take a bath.
be,"""To __ or not to __"""
beads,Given to strangers at Mardi Gras
bear,Goldilocks' family
because,"""Why? I said so!"""
bed,What you sleep in at night
bedroom,The room you sleep in at night
bee,Animated movie starring Jerry Seinfeld
before,Opposite of after
bellybutton,Inny or Outy
belt,Keeps your pants up
bench,Forrest Gump's story telling seat.
beside,Next to someone or something
better,How you hope someone feels when they're sick.
bib,Baby food catcher.
bicycle,Two-wheeled mode of transporation
big,B in the BFG
bird,"Parrot, Dove, or Chicken"
bite,A small portion to eat
black,Darkest color
block,Stop a ball from getting in the goal.
blow,What you do to a candle on your birthday.
blue,Color of Paddington's coat
boat,The Edmund Fitzgerald
book,"Spine, pages, and words."
boots,Dora's monkey companion.
boy,Person who cried wolf.
break,30 minutes for lunch.
breakfast,"1985 movie, cult classic club."
bring,What you do with a side dish to a dinner party.
broken,A shattered vase or glass.
brother,A male sibling
brown,Football team from Cleveland
bubbles,The blue powerpuff girl
bucket,Carries soapy water when mopping the floor
bug,An error in a program.
build,Constructing a tower out of blocks.
bump,Lightly walking into someone.
bunny,Looney-Tunes character Bugs...
bus,"""Wheels on the ___ go round and round."""
but,Word to contrast ideas.
butterfly,Ending phase of a very hungry caterpillar.
button,Many of these hold a shirt together.
buy,To purchase something.
bye,A farewell.
callonphone,What you do when you want to talk to someone far away.
camera,You use this to take pictures.
can,A small word that means you are able to do something.
candy,"Snickers, M&Ms, Sour Patch Kids"
car,Animated movie with Lightning McQueen and Tow Mater.
careful,To act with caution.
carrot,Vegetable used in cakes and soups.
carry,Putting your hand under the ball in basketball.
cartcarriage,Cinderella's pumpkin vehicle.
cat,"Jazz term of affection, keen on wearing hats."
catch,Not dropping a ball.
cereal,"Frosted flakes, Apple Jacks, Cheerios"
chair,"Four legs, a seat, and a back"
chalk,Used on blackboards for writing.
chase,"What you do when ""you're it"" in tag."
cheek,Kiss here for a standard French greeting.
cheese,A mouse's favorite food.
chicken,"A coward, or someone who sees the sky falling."
child,A young person
children,More than one child.
chin,Keep this up to not lose your motivation.
chocolate,Hershey's main product.
choose,To pick something.
clap,Showing excitement or gratitude at the end of a speech.
clean,Opposite of dirty.
climb,What monkey's do on trees.
close,Opposite of far.
closet,A place you store your clothes.
cloud,Brings rain and gives shade from the sun.
clown,Pennywise occupation.
coats,These are taken into a closet at a fancy dinner.
coffee,Starbucks drink.
cold,Problem solved with chicken noodle soup.
cook,To make food.
couch,Where someone sleeps after a fight with their partner.
could,To have the potential to do something.
cover,To place an object totall over another.
cow,Babybel mascot.
cowboy,Wild west occupation.
crayon,Harold's purple this.
crib,A baby's resting place.
cry,What you do when you are very sad or hurt.
cut,Scissors making paper snowflakes.
cute,Puppies and kittens.
dad,Male parent.
daddy,"Male parent, what the child says."
dance,"Cha-cha slide, the griddy, salsa."
dark,How it looks at night
day,The time when the sun is up.
deer,Bambi
diaper,Change this if a baby is crying.
did,Another word for having done something.
dime,Coin with FDR's face.
dinner,Last meal of the day.
dinosaur,Walked the earth 300 million years ago.
dirty,Opposite of clean.
do,"""__ or __ not. There is no try."""
doctor,Apples keep these people away.
does,Used to refer to a verb already mentioned.
dog,"Krypto, Cujo, and Scooby-Doo"
doll,Barbie or Bratz
donkey,Stubborn animal with a funny laugh.
dont,Conjuction of do not.
door,The entry way to a house or building.
down,The opposite of up.
downtown,The most active part of a city.
draw,Making a picture with a pencil.
drawer,Stores your clothes or other items.
dress,"Gown, Maxi, Blousson"
drink,What you do when you are thirsty
drive,2011 movie with Ryan Gosling
drop,To let something fall out of your hands
dry,Opposite of wet.
dryer,Where wet clothes go after a wash.
duck,To drop and avoid something; also a water fowl.
dump,Where your garbage ends up.
each,Every single one.
ear,A single cob of corn.
eat,What you do with food.
elephant,Animal whose skeleton was mistaken for cyclops.
empty,Void of any items.
enter,Opposite of exit.
every,All of one thing.
eye,"""An ___ for an ___ makes the whole world blind"""
face,Highest category of card.
fall,"To slip, or take a tumble."
farm,Where barnyard animals live.
fast,Opposite of slow.
feed,To give food to a pet.
feet,"Imperial standard of measurement, based on this body part."
find,"Go seek out, look for something."
fine,What you say when you feel OK.
finger,"When you point this, four are pointed back at you."
finish,First place ____ in a race.
fireman,Jesse Spencer's occupation in Chicago Fire.
firetruck,"They can run red lights, but they must slow down first."
first,Opposite of last.
fish,LaVigilia celebrates Christmas Eve by eating seven types of these.
fit,"""If I ___ I sit"" the cat mantra."
fix,"To rig a game of chance, also to put something back together."
flag,June 14th celebrates this holiday.
flipflop,"Open toed show, also to be indecisive on an issue."
flower,"2023 Miley Cyrus song, singular."
food,"""____ for thought"""
for,To show the reason or aim of an action.
frenchfries,Classic burger side.
friend,Someone you like to play or talk with.
frog,Friend of a toad.
full,When you cant put any more items in a container.
fullfood,When you cant eat anymore.
game,Something fun you play with rules.
garage,The White Stripes or The Strokes; this kind of band which started where you park your car.
garbage,Something to be thrown away.
garden,"Eden, where you plant vegetables."
gentle,"A light touch, softly."
get,Come to have or hold (something); receive.
gift,Something given to someone else without charge.
giraffe,Marty from the Madagascar movies.
girl,A young female child.
give,To hand over to
givemefive,Asking for high five.
glasses,Wear these on your face to see better.
glasswindow,See through parts of a house.
gloves,Keeps your hands warm in winter.
glue,"Elmers, keeps stuff together."
go,To move from one place to another.
goingto,When you are moving to a location.
good,"""There is ___ in all people"""
goose,Long neck water fowl from Canada.
gopotty,Childs way of saying they need to use the rest room.
gotto,Another way to say you have to do something
grandma,Abuela in English
grandpa,Abuelo in English
grapes,Key ingredient in wine or jelly.
grass,"""_____ is always greener on the other side"""
green,How you look when sick; another way of saying you are new to something.
gum,"Juicy Fruit, Five, Ballpark Chew"
hair,"80,000 to 150,000 of strands of these might be on your head."
hammer,Used when setting a nail into wood.
hand,Lend this to help someone.
happy,Pharrell Williams 2013 song.
hard,When something is difficult; also diamond.
hat,Clothing worn on your head to keep the sun out of your eyes.
hate,"""____ leads to suffering"" - Yoda"
have,"Possess, own, or hold."
haveto,When you must do something.
head,Attached to your neck.
hear,"When a sound enters your ear, and is processed by your brain."
heavy,Opposite of light.
helicopter,Flying vehicle with propeller on top.
hello,A word you say when you greet someone.
help,What you give when someone can’t do something alone.
hen,A female chicken.
hesheit,Singular pronouns
hi,A short greeting; hello
hide,"Goal is to not be found, and you're not seeking."
high,When something is just our of reach; too tall.
highchair,Baby's chair
hit,To strike someone; popular radio song.
hold,To wait on the phone; to pick something up and carry it.
home,Where you return to after work.
horse,"Secretariat, Spirit, Seabiscuit"
hose,Waters gardens and keeps you cool during the summer.
hot,Opposite of cold
how,In what way or manner; by what means.
hug,When you put your arms around someone you love.
hungry,How you feel when you want to eat.
hurry,When you are in a rush.
hurt,Scraping your knee; how you feel when someone is mean
icecream,Vanilla is the most popular flavor
if,A tiny word that talks about something that might happen.
insidein,The opposite of being outside.
into,Expressing movement or action with the result that someone or something becomes enclosed or surrounded by something else.
is,"Another way to say to be. ""Something __ red"""
jacket,Something you wear in the cold
jar,Stores jelly or preserved fruits
jeans,"Levi's, blue pants."
jelly,The J in PB&J
juice,"Apple, cranberry, and orange are common"
jump,To push off the ground with your feet and go up.
kick,To hit something with your foot.
kiss,A soft touch with your lips to show love.
kitchen,A place where you cook food in a house
kitty,A young cat
knife,A sharp tool used for cutting
knock,What you do on a door before entering
ladder,A thing you climb to reach a higher point
lady,A polite word for a woman
lamp,An object that gives off light
last,"Opposite of ""first"""
later,"Not now, but ____"
lawnmower,A yard tool that cuts grass
leg,You stand on one of these
letme,"A more casual ""allow me..."""
lick,To touch with the tongue
lightbulb,The object that makes a lamp light up
like,To enjoy or be fond of something
lion,A large ferocious cat from Africa
lips,You use them to kiss
listen,What you do when you pay attention with your ears
little,Another word for small
livingroom,A part of the house where the TV and couch usually are
long,The opposite of short
look,What you do with your eyes when you pay attention
loud,Not quiet
love,A feeling stronger than like
lunch,Midday meal
mad,Feeling angry
mailman,A person who delivers mail
make,To create
man,A male human
many,A lot
melon,A large sweet fruit with a thick rind
milk,Drinkable white liquid from cows
minemy,"Belonging to me, not yours"
mitten,Something you wear on your hands in the cold
mom,Your mother
mommy,What a child calls their mother
monkey,A tree-climbing animal with a tail
moon,The thing that gives us light at night
moose,"A large animal with big antlers, usually in cold regions"
more,When you want extra
morning,The early part of the day
motorcycle,A cool thing you can ride in or on to go somewhere
mouse,An animal that loves cheese in movies
mouth,The part of the body that food enters
much,A large amount
must,Need to
nap,A short sleep
napkin,Used to wipe your face or hands after eating
naughty,Not behaving well
necklace,A piece of jewelry you wear around your neck
needneedto,have to do it
new,Opposite of old
nice,"Kind and pleasant, okay"
night,The time when the sky is dark and you sleep
nightnight,"A child's way to say ""goodnight"""
no,The opposite of yes
noisy,Loud things are ____
none,The opposite of some
nose,A part of the body you use to smell
not,Used to form a negative phrase after a verb
now,This moment
nurse,Someone who helps take care of sick people
nuts,Things squirrels like to eat
of,A small connecting word
off,"Not on, powered down"
old,The opposite of new
on,Powered up
open,Not closed
orange,"A citrus fruit, or a color"
other,Something else
outside,Not inside
oven,Something in the kitchen that bakes food
over,"Above something, finished"
owie,A child's word for a hurt or a boo-boo
owl,A bird that's active at night and makes interesting sounds
paint,You use this colored liquid to make pictures on paper or walls
pajamas,Clothes you wear to go to sleep
pants,Clothes that cover your legs
party,A fun event with lots of people
peas,"Small, circular green vegetables"
peekaboo,"____, I see you!"
pen,You use this to write with ink
pencil,A writing tool you can erase
penguin,A large black and white bird that can't fly
penis,Male genitalia
penny,The lowest value unit of U.S. currency
people,More than one person
person,A human
petsname,The name of your pet
pick,To choose
pig,A pink animal that likes to play in mud
pillow,Something you lay your head on in bed
pizza,A popular italian food with dough and sauce
plants,Things that grow in soil and need sun
plate,A dish that you eat food on
play,To interact with something joyfully
playdough,A soft squishy toy you can shape into things
playgroundschool,An outdoor fun area at school where kids can play
playpen,A safe space for children or babies to play
please,A polite word you say when asking for something
police,People who help keep everyone safe and enforce rules
pony,"""Hit childrens' TV show ‘My Little ___’"""
pool,A manmade body of water.
poor,Moonshine is often reffered to as a ____ man's Whiskey.
popsicle,A cold dessert often on a stick.
porch,Country homes are often known for their wraparound ___
potato,Famine that struck Ireland in the 1840s
potatochip,Snack field dominated by Lay’s
potty,The child version of a toilet. 
pour,"""___ me another one!"" you might say to the bartender."""
present,Something you might exchange during the holidays.
pretend,"""Make believe"" is also known as ""playing _____"""
pretty,“___ Woman” is a hit movie starring Julia Roberts
pull,The opposite of push.
pumpkin,"Hurry Prince Charming! The clock is about to strike midnight and I worry my carriage will turn into a ____!"""
puppy,"""___ love"" refers to adolescent infatuation"
push,The opposite of pull.
put,To move something into position
puzzle,A brain-teasing pastime
quiet,"You should be this, in a library setting."
rabbit,Thumper is one in “Bambi.
radio,"""I’m a creep” is a famous line sung by the ’90s band ___head"
rain,The 1980s movie “___ Man” won multiple Oscars and stars Dustin Hoffman
read,Booktok has revigoriated this hobby.
red,"“___rum,” the phrase uttered by Danny in “The Shining”"
refrigerator,Target of the classic prank call: “Is your ___ running?”
ride,What you might need after missing the bus
rip,"Someone may recommend you ""___ off the Band-Aid"" to approach an awkward conversation"
rock,"Dwayne Johnson, AKA ""the ___"" "
rockingchair,Seat that moves gently back and forth
roof,"""Fiddler on the ____""  is a famous musical about a Jewish milkman named Tevye in Imperial Russia"
room,Brie Larson won an Oscar for the film “___.”
rooster,Barnyard bird that crows at dawn
run,"""___, Forest, ____!"" iconic line from Forrest Gump"
sad,One might describe themsevles as feeling 'blue' 
same,"We are not so different, you and I."
sandbox,Where developers “play” before going live
say,"""If you ___ so..."""
scared,"“___y-cat,” term for someone easily frightened"
scarf,Cozy wrap for the neck
scissors,It’s safest to carry them by the closed blades
see,A blindfold impaires your ability to...?
shake,"“___ Your Booty!” says KC and the Sunshine Band
"
share,"“Please ___ this with the group,” a teacher might say to a disruptive student."
sheep,Wool-producing animal
shhh,___! The movie’s starting.”
shirt,"""No ___, no shoes, no service!"""
shoe,"""No shirt, no ___, no service!"""
shopping,“Retail therapy” means going ___
short,"In ___ supply,” meaning scarce"
shorts,Knee-length or shorter pants
should,"“You ___ Be Dancing,” hit song by the Bee Gees"
shoulder,"Someone might give you the ""cold ____"" if they are upset."""
shovel,You may have to ___ after a snow storm.
show,Something you binge-watch
shower,"Morning or evening one, depending on when you prefer to clean up"
sick,If you wake up feeling unwell you might take a ___ day.
sidewalk,Place for hopscotch
sing,2016 animated film featuring a koala who hosts a talent show
sink,"""Let that ___ in,"" phrase meaning “take a moment to absorb it” "
sister,You might refer to your female sibling as your ____.
sit,"“Please ___ down,” a teacher might say"""
skate,"“Let’s go ___ at the rink,” a winter invitation"
skirt,Clothing item that comes in pencil or A-line form
sky,"“The ___ is the limit,” is a motivational phrase"
sled,Vehicle pulled by a team of dogs for a musher
sleep,"Get some ___,” advice given to someone who’s exhausted"
sleepy,One of the Seven Dwarfs is named ___
slide,Playground feature you can zoom down
slidenoun,A simple everyday word you might see or say; use the letters and crossings to guess me.
slideverb,Do on ice if you have no traction
slipper,"Dorothy wore a Ruby colored ___ in ""The Wizard of Oz"""
slow,"“Go ___,” advice given to cautious drivers."
smile,Goldfish’s slogan is “the snack that ___’s back.”
snack,"“Midnight ___,” late-night bite"
sneaker,A “___head” may dream of owning Nike MAGs
snow,This big cat of Central Asia is known to keep it's tail in its mouth.
snowman,"Do You Want to Build a ___?,” Disney tune from “Frozen”"
snowsuit,"This outerwear evolved from insulated garments for children in Northern Europe and Canada, becoming more mainstream in North America during the 1950s."
so,"“Say __,” a Doja Cat hit popularized on TikTok during the pandemic"
sobig,"A 1950's film starring Jane Wyman, based on the Pulitzer Prize–winning novel by Edna Ferber."
sock,"“Put a ___ in it,” phrase meaning “be quiet”"
sodapop,Bubbly beverage from a fountain
sofa,“Couch” is another word for a ___
soft,___ serve ice cream
some,"Not all, but not none"
spill,"What you might tell a friend to do with the beans, metaphorically"
splash,"“___ Mountain,” a Disneyland ride"
sprinkler,“Kids love running through the backyard ___ in summer.”
squirrel,Tree-dwelling rodent with a bushy tail
stairs,"“Take the ___ instead of the elevator,” is common fitness advice"
stand,Please ___ for the national anthem.
star,Romeo and Juliet were known as “___-crossed” lovers.
stay,Remain in place
stick,What a dog might pick up and parade around on a walk
sticky,Kind of situation that's hard to get out of.
stone,To have a heart of ___ is to be cold and callous. 
stop,The opposite of go.
store,A place to shop
story,"“True ___,” phrase before recounting something real"
stove,Where a watched pot never seems to boil
street,Often marked with painted lines
stroller,They carry the next generation
stuck,Unable to move or go forward
sun,Everything revolves around it
sweater,Worn when it becomes cold outside
sweep,How you might use a broom
swim,What people do in water
swing,Children might be pushed on this at a playground
table,Piece of furniture you might eat or work on
taken,When something is stolen from you
talk,How humans might communicate
tall,How you might describe Lebron James
taste,How you can tell something is delicious
teacher,They might assign homework
tear,It might roll down your cheek
teddy,Nickname of the president who speaks softly and carries a big stick
teddybear,Children sleep with it at night
thankyou,What you say when someone helps or gives you something.
that,Pronoun for something not near you.
the,Most common English word
then,What you say when something comes next
there,A word for a place that is not here.
think,What your brain does when you use your mind
thirsty,What you might feel in the desert
throw,What a pitcher does all day
